,well_code,date_sampling,quarter,type_analyzing,date_analyzing,laboratory,k,ca2,fe3,fe2,al3,cl,so4,hco3,co3,no2,hardness_general,no3,hardness_temporal,ph,co2_free,co2_infiltrate,sio2,color,smell,tatse,is_drinkable,wqi,wqc
36,4,25873920.0,0,0,25878240.0,1,1,0,1,1,0.0,1,1,0,1,1,0,1,1,1,1,1,1,6,1,1,0,98.02582252483009,0
37,4,26094240.0,1,0,26098560.0,1,1,0,1,1,0.0,1,1,0,1,1,0,1,1,1,1,1,1,6,1,1,0,98.02582252483009,0
38,4,26412480.0,0,0,26415360.0,1,1,0,1,1,0.0,1,1,0,1,1,0,1,1,1,1,1,1,6,1,1,0,98.02582252483009,0
39,4,26631360.0,1,0,26628480.0,1,1,0,1,1,0.0,1,1,0,1,1,0,1,1,1,1,1,1,6,1,1,0,98.02582252483009,0
40,4,26922240.0,0,0,26926560.0,1,1,0,1,1,0.0,1,1,0,1,1,0,1,1,1,1,1,1,6,1,1,0,98.02582252483009,0
41,4,27112320.0,1,0,27113760.0,1,1,0,1,1,0.0,1,1,0,1,1,0,1,1,1,1,1,1,6,1,1,0,98.02582252483009,0
42,4,27444960.0,0,0,27449280.0,1,1,0,1,1,0.0,1,1,0,1,1,0,1,1,1,1,1,1,6,1,1,0,98.02582252483009,0
43,5,25359840.0,0,0,25368480.0,0,1,0,1,1,0.0,1,1,0,1,1,0,1,1,1,1,1,1,6,1,1,0,98.02582252483009,0
44,5,26097120.0,1,0,26100000.0,1,1,0,1,1,0.0,1,1,0,1,1,0,1,1,1,1,1,1,6,1,1,0,99.06995722590915,0
45,6,24330240.0,0,0,24341760.0,0,0,0,1,1,0.0,0,1,0,1,0,0,1,1,1,1,1,1,6,1,5,0,47.101600880579795,1
46,6,24544800.0,1,0,24552000.0,0,0,0,1,1,0.0,0,1,0,1,1,0,1,1,1,1,1,1,6,1,1,0,55.454678489211965,3
47,6,24880320.0,0,0,24890400.0,0,0,0,1,1,0.0,0,1,0,1,0,0,1,1,1,1,1,1,6,1,1,0,47.101600880579795,1
48,6,25068960.0,1,0,25073280.0,0,0,0,1,1,0.0,0,1,0,1,1,0,1,1,1,1,1,1,6,1,1,0,55.454678489211965,3
49,6,25368480.0,0,0,25375680.0,0,0,0,1,1,0.0,0,1,0,1,1,0,1,1,1,1,1,1,6,1,1,0,55.454678489211965,3
50,6,25594560.0,1,0,25600320.0,0,0,0,1,1,0.0,0,1,0,1,1,0,1,1,1,1,1,1,6,1,5,0,55.454678489211965,3
51,6,25882560.0,0,0,25886880.0,1,0,0,1,1,0.0,0,1,0,1,1,0,1,1,1,1,1,1,6,1,3,0,55.454678489211965,3
52,6,26114400.0,1,0,26118720.0,1,0,1,1,1,0.0,0,1,0,1,0,0,1,1,1,1,1,1,6,1,3,0,47.181154000662026,1
53,6,26461440.0,0,0,26468640.0,1,0,0,1,1,0.0,0,1,0,1,0,0,1,1,1,1,1,1,6,0,2,0,47.101600880579795,1
54,6,26676000.0,1,0,26681760.0,1,0,1,1,1,0.0,0,1,0,1,0,0,1,1,1,1,1,1,5,1,3,0,47.181154000662026,1
